task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
69	0f/c133a8	46138001	LDCALCULATION_sortlocus (67)	COMPLETED	0	2023-04-03 13:37:31.065	34.2s	90ms	31.9%	0	0	143.1 KB	44 KB
70	33/d2b78b	46138002	LDCALCULATION_sortlocus (68)	COMPLETED	0	2023-04-03 13:37:31.129	34.2s	83ms	26.0%	0	0	109.4 KB	13.8 KB
71	85/e61264	46138003	LDCALCULATION_sortlocus (69)	COMPLETED	0	2023-04-03 13:37:31.187	34.2s	92ms	32.6%	0	0	99.4 KB	6.3 KB
72	7a/ceea83	46138004	LDCALCULATION_sortlocus (70)	COMPLETED	0	2023-04-03 13:37:31.248	34.2s	80ms	35.6%	0	0	134.1 KB	35 KB
73	0f/0ec8a2	46138005	LDCALCULATION_sortlocus (71)	COMPLETED	0	2023-04-03 13:37:31.304	34.2s	72ms	36.8%	0	0	132.3 KB	33.3 KB
74	53/5d9c93	46138006	LDCALCULATION_sortlocus (72)	COMPLETED	0	2023-04-03 13:37:31.364	34.1s	95ms	36.7%	0	0	108.2 KB	12.9 KB
75	c8/8e460d	46138007	LDCALCULATION_sortlocus (73)	COMPLETED	0	2023-04-03 13:37:31.420	34.1s	75ms	39.0%	0	0	123.9 KB	25 KB
76	38/240eed	46138008	LDCALCULATION_sortlocus (74)	COMPLETED	0	2023-04-03 13:37:31.478	34.1s	66ms	36.4%	0	0	115.6 KB	18.5 KB
78	df/986b87	46138009	LDCALCULATION_sortlocus (76)	COMPLETED	0	2023-04-03 13:37:31.537	34.1s	59ms	37.9%	0	0	105.6 KB	11.1 KB
79	67/7fb075	46138010	LDCALCULATION_sortlocus (77)	COMPLETED	0	2023-04-03 13:37:31.604	34s	84ms	25.2%	0	0	153.2 KB	54.2 KB
77	b1/bd4963	46138011	LDCALCULATION_sortlocus (75)	COMPLETED	0	2023-04-03 13:37:31.663	34s	81ms	34.4%	0	0	109.4 KB	13.9 KB
